timestamp,match_id,team1,team2,total_score1,total_score2,quarter_score1,quarter_score2,quarter_number,minute,over_odds,under_odds,line,quarter_result
2026-03-26 11:12:26,63600292,Барнаул,Новосибирск,5,6,5,6,1,1:33,1.90,1.80,52.5,49 (27-22)
2026-03-26 11:12:56,63600292,Барнаул,Новосибирск,7,6,7,6,1,2:10,1.90,1.80,51.5,49 (27-22)
2026-03-26 11:13:27,63600292,Барнаул,Новосибирск,10,8,10,8,1,2:38,1.80,1.90,53.5,49 (27-22)
2026-03-26 11:13:57,63600292,Барнаул,Новосибирск,10,10,10,10,1,3:00,1.77,1.93,53.5,49 (27-22)
2026-03-26 11:14:27,63600292,Барнаул,Новосибирск,10,10,10,10,1,3:31,1.85,1.85,51.5,49 (27-22)
2026-03-26 11:14:57,63600292,Барнаул,Новосибирск,11,10,11,10,1,4:09,1.85,1.85,50.5,49 (27-22)
2026-03-26 11:15:27,63600292,Барнаул,Новосибирск,15,10,15,10,1,4:38,1.94,1.76,52.5,49 (27-22)
2026-03-26 11:15:57,63600292,Барнаул,Новосибирск,18,13,18,13,1,5:03,1.95,1.75,56.5,49 (27-22)
2026-03-26 11:16:28,63600292,Барнаул,Новосибирск,18,16,18,16,1,5:31,1.85,1.85,56.5,49 (27-22)
2026-03-26 11:45:05,63549287,Рейвенс,Октопус,0,0,0,0,1,?,1.90,1.80,63.5,53 (30-23)
2026-03-26 11:45:35,63549287,Рейвенс,Октопус,0,0,0,0,1,?,1.90,1.80,63.5,53 (30-23)
2026-03-26 11:46:05,63549287,Рейвенс,Октопус,0,0,0,0,1,?,1.90,1.80,63.5,53 (30-23)
2026-03-26 11:46:35,63549287,Рейвенс,Октопус,3,0,3,0,1,0:31,1.90,1.80,63.5,53 (30-23)
2026-03-26 11:47:05,63549287,Рейвенс,Октопус,3,2,3,2,1,1:08,1.80,1.90,61.5,53 (30-23)
2026-03-26 11:47:36,63549287,Рейвенс,Октопус,3,2,3,2,1,1:31,1.80,1.90,59.5,53 (30-23)
2026-03-26 11:48:06,63549287,Рейвенс,Октопус,6,5,6,5,1,2:00,1.90,1.80,63.5,53 (30-23)
2026-03-26 11:48:36,63549287,Рейвенс,Октопус,9,7,9,7,1,2:40,1.80,1.90,64.5,53 (30-23)
2026-03-26 11:49:06,63549287,Рейвенс,Октопус,9,7,9,7,1,3:06,1.90,1.80,63.5,53 (30-23)
2026-03-26 11:49:36,63549287,Рейвенс,Октопус,9,7,9,7,1,3:30,1.77,1.93,60.5,53 (30-23)
2026-03-26 11:50:06,63549287,Рейвенс,Октопус,9,10,9,10,1,4:06,1.85,1.85,61.5,53 (30-23)
2026-03-26 11:50:37,63549287,Рейвенс,Октопус,12,10,12,10,1,4:31,1.90,1.80,62.5,53 (30-23)
2026-03-26 11:51:07,63549287,Рейвенс,Октопус,12,13,12,13,1,5:00,1.85,1.85,62.5,53 (30-23)
2026-03-26 11:51:37,63549287,Рейвенс,Октопус,15,13,15,13,1,5:44,1.93,1.77,61.5,53 (30-23)
2026-03-26 11:52:07,63549287,Рейвенс,Октопус,18,13,18,13,1,6:07,1.76,1.94,61.5,53 (30-23)
2026-03-26 11:52:37,63549287,Рейвенс,Октопус,21,13,21,13,1,6:34,1.85,1.85,62.5,53 (30-23)
